AtcoCode,CommonName,Street,stop_category,StopType,Latitude,Longitude,Easting,Northing,AdministrativeAreaRef,Status
8360B3509401,Kilrush,The Square,Bus stop,BCT,52.638179,-9.484495,499525,655142,836,active
8360B5341201,Murrooghkilly,R477,Bus stop,BCT,53.124104,-9.277645,514486,708936,836,active
8360B5324901,Fanore,Fanore,Bus stop,BCT,53.10155,-9.29706,513141,706450,836,active
8360B6310501,Rathfolan,Ennis Road,Bus stop,BCT,52.765446,-8.901321,539172,668648,836,active
8360B6311401,Clareabbey,R458,Bus stop,BCT,52.82232,-8.975482,534253,675041,836,active
8360B6350001,Lifford Road,Lifford Road,Bus stop,BCT,52.851052,-8.977997,534127,678240,836,active
8360B5307801,Black Head,R477,Bus stop,BCT,53.140174,-9.275999,514628,710722,836,active
8360B3576201,Miltown Malbay,Main Street,Bus stop,BCT,52.85492,-9.4012,505632,679142,836,active
8360B3575501,Ballyvaughan,,Bus stop,BCT,53.11592,-9.1482,523135,707879,836,active
8360B3560501,Ennistymon,Church Street,Bus stop,BCT,52.94111,-9.29332,513070,688595,836,active
8360B5302301,Ballynalackan,R477,Bus stop,BCT,53.04608,-9.34102,510082,700333,836,active
8360B3374301,Knockalough,R484,Bus stop,BCT,52.709779,-9.262177,514711,662821,836,active
8360B3368401,Killaloe,Clarisford,Bus stop,BCT,52.80406,-8.43974,570349,672654,836,active
