Statistic Label,Year,Fuel Type,County of Ownership,Type of Vehicle,Year of Registration,UNIT,VALUE
Vehicle Population,2018,Petrol,Co. Roscommon,Other vehicles,All years,Number,295
Vehicle Population,2018,Petrol,Co. Sligo,Private cars,All years,Number,11760
Vehicle Population,2018,Petrol,Co. Sligo,Goods vehicles,All years,Number,8
Vehicle Population,2018,Petrol,Co. Sligo,Motor cycles,All years,Number,398
Vehicle Population,2018,Petrol,Co. Sligo,Tractors & Machinery,All years,Number,40
Vehicle Population,2018,Petrol,Co. Sligo,Small PSVs,All years,Number,12
Vehicle Population,2018,Petrol,Co. Sligo,Large PSVs,All years,Number,0
Vehicle Population,2018,Petrol,Co. Sligo,Exempt vehicles,All years,Number,124
Vehicle Population,2018,Petrol,Co. Sligo,Other vehicles,All years,Number,359
Vehicle Population,2018,Petrol,Co. Cavan,Private cars,All years,Number,10568
Vehicle Population,2018,Petrol,Co. Cavan,Goods vehicles,All years,Number,5
Vehicle Population,2018,Petrol,Co. Cavan,Motor cycles,All years,Number,447
Vehicle Population,2018,Petrol,Co. Cavan,Tractors & Machinery,All years,Number,6
Vehicle Population,2018,Petrol,Co. Cavan,Small PSVs,All years,Number,7
Vehicle Population,2018,Petrol,Co. Cavan,Large PSVs,All years,Number,0
Vehicle Population,2018,Petrol,Co. Cavan,Exempt vehicles,All years,Number,58
Vehicle Population,2018,Petrol,Co. Cavan,Other vehicles,All years,Number,337
Vehicle Population,2018,Petrol,Co. Donegal,Private cars,All years,Number,22399
Vehicle Population,2018,Petrol,Co. Donegal,Goods vehicles,All years,Number,20
Vehicle Population,2018,Petrol,Co. Donegal,Motor cycles,All years,Number,734
Vehicle Population,2018,Petrol,Co. Donegal,Tractors & Machinery,All years,Number,5
Vehicle Population,2018,Petrol,Co. Donegal,Small PSVs,All years,Number,16
Vehicle Population,2018,Petrol,Co. Donegal,Large PSVs,All years,Number,3
Vehicle Population,2018,Petrol,Co. Donegal,Exempt vehicles,All years,Number,167
Vehicle Population,2018,Petrol,Co. Donegal,Other vehicles,All years,Number,857
Vehicle Population,2018,Petrol,Co. Monaghan,Private cars,All years,Number,7850
Vehicle Population,2018,Petrol,Co. Monaghan,Goods vehicles,All years,Number,11
Vehicle Population,2018,Petrol,Co. Monaghan,Motor cycles,All years,Number,300
Vehicle Population,2018,Petrol,Co. Monaghan,Tractors & Machinery,All years,Number,2
Vehicle Population,2018,Petrol,Co. Monaghan,Small PSVs,All years,Number,4
Vehicle Population,2018,Petrol,Co. Monaghan,Large PSVs,All years,Number,0
Vehicle Population,2018,Petrol,Co. Monaghan,Exempt vehicles,All years,Number,46
Vehicle Population,2018,Petrol,Co. Monaghan,Other vehicles,All years,Number,262
Vehicle Population,2018,Diesel,Co. Carlow,Private cars,All years,Number,17385
Vehicle Population,2018,Diesel,Co. Carlow,Goods vehicles,All years,Number,5799
Vehicle Population,2018,Diesel,Co. Carlow,Motor cycles,All years,Number,0
Vehicle Population,2018,Diesel,Co. Carlow,Tractors & Machinery,All years,Number,1945
Vehicle Population,2018,Diesel,Co. Carlow,Small PSVs,All years,Number,146
Vehicle Population,2018,Diesel,Co. Carlow,Large PSVs,All years,Number,149
Vehicle Population,2018,Diesel,Co. Carlow,Exempt vehicles,All years,Number,221
Vehicle Population,2018,Diesel,Co. Carlow,Other vehicles,All years,Number,828
Vehicle Population,2018,Diesel,Co. Dublin,Private cars,All years,Number,225705
Vehicle Population,2018,Diesel,Co. Dublin,Goods vehicles,All years,Number,74245
Vehicle Population,2018,Diesel,Co. Dublin,Motor cycles,All years,Number,15
Vehicle Population,2018,Diesel,Co. Dublin,Tractors & Machinery,All years,Number,1842
Vehicle Population,2018,Diesel,Co. Dublin,Small PSVs,All years,Number,8514
Vehicle Population,2018,Diesel,Co. Dublin,Large PSVs,All years,Number,3065
Vehicle Population,2018,Diesel,Co. Dublin,Exempt vehicles,All years,Number,7275
Vehicle Population,2018,Diesel,Co. Dublin,Other vehicles,All years,Number,3676
Vehicle Population,2018,Diesel,Co. Kildare,Private cars,All years,Number,56833
Vehicle Population,2018,Diesel,Co. Kildare,Goods vehicles,All years,Number,16042
Vehicle Population,2018,Diesel,Co. Kildare,Motor cycles,All years,Number,3
Vehicle Population,2018,Diesel,Co. Kildare,Tractors & Machinery,All years,Number,2579
Vehicle Population,2018,Diesel,Co. Kildare,Small PSVs,All years,Number,716
Vehicle Population,2018,Diesel,Co. Kildare,Large PSVs,All years,Number,501
Vehicle Population,2018,Diesel,Co. Kildare,Exempt vehicles,All years,Number,727
Vehicle Population,2018,Diesel,Co. Kildare,Other vehicles,All years,Number,1530
Vehicle Population,2018,Diesel,Co. Kilkenny,Private cars,All years,Number,26673
Vehicle Population,2018,Diesel,Co. Kilkenny,Goods vehicles,All years,Number,8206
Vehicle Population,2018,Diesel,Co. Kilkenny,Motor cycles,All years,Number,1
Vehicle Population,2018,Diesel,Co. Kilkenny,Tractors & Machinery,All years,Number,3868
Vehicle Population,2018,Diesel,Co. Kilkenny,Small PSVs,All years,Number,205
Vehicle Population,2018,Diesel,Co. Kilkenny,Large PSVs,All years,Number,295
Vehicle Population,2018,Diesel,Co. Kilkenny,Exempt vehicles,All years,Number,492
Vehicle Population,2018,Diesel,Co. Kilkenny,Other vehicles,All years,Number,1153
Vehicle Population,2018,Diesel,Co. Laois,Private cars,All years,Number,22057
Vehicle Population,2018,Diesel,Co. Laois,Goods vehicles,All years,Number,6014
Vehicle Population,2018,Diesel,Co. Laois,Motor cycles,All years,Number,2
Vehicle Population,2018,Diesel,Co. Laois,Tractors & Machinery,All years,Number,2996
Vehicle Population,2018,Diesel,Co. Laois,Small PSVs,All years,Number,199
Vehicle Population,2018,Diesel,Co. Laois,Large PSVs,All years,Number,198
Vehicle Population,2018,Diesel,Co. Laois,Exempt vehicles,All years,Number,288
Vehicle Population,2018,Diesel,Co. Laois,Other vehicles,All years,Number,816
Vehicle Population,2018,Diesel,Co. Longford,Private cars,All years,Number,11271
Vehicle Population,2018,Diesel,Co. Longford,Goods vehicles,All years,Number,3931
Vehicle Population,2018,Diesel,Co. Longford,Motor cycles,All years,Number,0
Vehicle Population,2018,Diesel,Co. Longford,Tractors & Machinery,All years,Number,1324
Vehicle Population,2018,Diesel,Co. Longford,Small PSVs,All years,Number,84
Vehicle Population,2018,Diesel,Co. Longford,Large PSVs,All years,Number,105
Vehicle Population,2018,Diesel,Co. Longford,Exempt vehicles,All years,Number,199
Vehicle Population,2018,Diesel,Co. Longford,Other vehicles,All years,Number,806
Vehicle Population,2018,Diesel,Co. Louth,Private cars,All years,Number,29946
Vehicle Population,2018,Diesel,Co. Louth,Goods vehicles,All years,Number,8128
Vehicle Population,2018,Diesel,Co. Louth,Motor cycles,All years,Number,5
Vehicle Population,2018,Diesel,Co. Louth,Tractors & Machinery,All years,Number,1161
Vehicle Population,2018,Diesel,Co. Louth,Small PSVs,All years,Number,508
Vehicle Population,2018,Diesel,Co. Louth,Large PSVs,All years,Number,230
Vehicle Population,2018,Diesel,Co. Louth,Exempt vehicles,All years,Number,503
Vehicle Population,2018,Diesel,Co. Louth,Other vehicles,All years,Number,680
Vehicle Population,2018,Diesel,Co. Meath,Private cars,All years,Number,52423
Vehicle Population,2018,Diesel,Co. Meath,Goods vehicles,All years,Number,14762
Vehicle Population,2018,Diesel,Co. Meath,Motor cycles,All years,Number,1
Vehicle Population,2018,Diesel,Co. Meath,Tractors & Machinery,All years,Number,3059
Vehicle Population,2018,Diesel,Co. Meath,Small PSVs,All years,Number,832
Vehicle Population,2018,Diesel,Co. Meath,Large PSVs,All years,Number,374
Vehicle Population,2018,Diesel,Co. Meath,Exempt vehicles,All years,Number,610
Vehicle Population,2018,Diesel,Co. Meath,Other vehicles,All years,Number,1277
Vehicle Population,2018,Diesel,Co. Offaly,Private cars,All years,Number,21785
Vehicle Population,2018,Diesel,Co. Offaly,Goods vehicles,All years,Number,6515
Vehicle Population,2018,Diesel,Co. Offaly,Motor cycles,All years,Number,2
Vehicle Population,2018,Diesel,Co. Offaly,Tractors & Machinery,All years,Number,2617
Vehicle Population,2018,Diesel,Co. Offaly,Small PSVs,All years,Number,150
Vehicle Population,2018,Diesel,Co. Offaly,Large PSVs,All years,Number,211
Vehicle Population,2018,Diesel,Co. Offaly,Exempt vehicles,All years,Number,276
Vehicle Population,2018,Diesel,Co. Offaly,Other vehicles,All years,Number,1544
Vehicle Population,2018,Diesel,Co. Westmeath,Private cars,All years,Number,26112
Vehicle Population,2018,Diesel,Co. Westmeath,Goods vehicles,All years,Number,8096
Vehicle Population,2018,Diesel,Co. Westmeath,Motor cycles,All years,Number,0
Vehicle Population,2018,Diesel,Co. Westmeath,Tractors & Machinery,All years,Number,2345
Vehicle Population,2018,Diesel,Co. Westmeath,Small PSVs,All years,Number,260
Vehicle Population,2018,Diesel,Co. Westmeath,Large PSVs,All years,Number,160
Vehicle Population,2018,Diesel,Co. Westmeath,Exempt vehicles,All years,Number,267
Vehicle Population,2018,Diesel,Co. Westmeath,Other vehicles,All years,Number,1132
Vehicle Population,2018,Diesel,Co. Wexford,Private cars,All years,Number,44971
Vehicle Population,2018,Diesel,Co. Wexford,Goods vehicles,All years,Number,13961
Vehicle Population,2018,Diesel,Co. Wexford,Motor cycles,All years,Number,1
Vehicle Population,2018,Diesel,Co. Wexford,Tractors & Machinery,All years,Number,4560
Vehicle Population,2018,Diesel,Co. Wexford,Small PSVs,All years,Number,250
Vehicle Population,2018,Diesel,Co. Wexford,Large PSVs,All years,Number,289
Vehicle Population,2018,Diesel,Co. Wexford,Exempt vehicles,All years,Number,519
Vehicle Population,2018,Diesel,Co. Wexford,Other vehicles,All years,Number,2334
Vehicle Population,2018,Diesel,Co. Wicklow,Private cars,All years,Number,34195
Vehicle Population,2018,Diesel,Co. Wicklow,Goods vehicles,All years,Number,9390
Vehicle Population,2018,Diesel,Co. Wicklow,Motor cycles,All years,Number,1
Vehicle Population,2018,Diesel,Co. Wicklow,Tractors & Machinery,All years,Number,1912
Vehicle Population,2018,Diesel,Co. Wicklow,Small PSVs,All years,Number,314
Vehicle Population,2018,Diesel,Co. Wicklow,Large PSVs,All years,Number,251
Vehicle Population,2018,Diesel,Co. Wicklow,Exempt vehicles,All years,Number,435
Vehicle Population,2018,Diesel,Co. Wicklow,Other vehicles,All years,Number,1198
Vehicle Population,2018,Diesel,Co. Clare,Private cars,All years,Number,32584
Vehicle Population,2018,Diesel,Co. Clare,Goods vehicles,All years,Number,9420
Vehicle Population,2018,Diesel,Co. Clare,Motor cycles,All years,Number,2
Vehicle Population,2018,Diesel,Co. Clare,Tractors & Machinery,All years,Number,3303
Vehicle Population,2018,Diesel,Co. Clare,Small PSVs,All years,Number,303
Vehicle Population,2018,Diesel,Co. Clare,Large PSVs,All years,Number,238
Vehicle Population,2018,Diesel,Co. Clare,Exempt vehicles,All years,Number,542
Vehicle Population,2018,Diesel,Co. Clare,Other vehicles,All years,Number,1913
Vehicle Population,2018,Diesel,Co. Cork,Private cars,All years,Number,132295
Vehicle Population,2018,Diesel,Co. Cork,Goods vehicles,All years,Number,41391
Vehicle Population,2018,Diesel,Co. Cork,Motor cycles,All years,Number,6
Vehicle Population,2018,Diesel,Co. Cork,Tractors & Machinery,All years,Number,11762
Vehicle Population,2018,Diesel,Co. Cork,Small PSVs,All years,Number,1538
Vehicle Population,2018,Diesel,Co. Cork,Large PSVs,All years,Number,896
Vehicle Population,2018,Diesel,Co. Cork,Exempt vehicles,All years,Number,2490
Vehicle Population,2018,Diesel,Co. Cork,Other vehicles,All years,Number,5671
Vehicle Population,2018,Diesel,Co. Kerry,Private cars,All years,Number,39246
Vehicle Population,2018,Diesel,Co. Kerry,Goods vehicles,All years,Number,11899
Vehicle Population,2018,Diesel,Co. Kerry,Motor cycles,All years,Number,0
Vehicle Population,2018,Diesel,Co. Kerry,Tractors & Machinery,All years,Number,4358
Vehicle Population,2018,Diesel,Co. Kerry,Small PSVs,All years,Number,436
Vehicle Population,2018,Diesel,Co. Kerry,Large PSVs,All years,Number,524
Vehicle Population,2018,Diesel,Co. Kerry,Exempt vehicles,All years,Number,641
Vehicle Population,2018,Diesel,Co. Kerry,Other vehicles,All years,Number,2845
Vehicle Population,2018,Diesel,Co. Limerick,Private cars,All years,Number,47854
Vehicle Population,2018,Diesel,Co. Limerick,Goods vehicles,All years,Number,13635
Vehicle Population,2018,Diesel,Co. Limerick,Motor cycles,All years,Number,3
Vehicle Population,2018,Diesel,Co. Limerick,Tractors & Machinery,All years,Number,3880
Vehicle Population,2018,Diesel,Co. Limerick,Small PSVs,All years,Number,487
Vehicle Population,2018,Diesel,Co. Limerick,Large PSVs,All years,Number,314
Vehicle Population,2018,Diesel,Co. Limerick,Exempt vehicles,All years,Number,819
Vehicle Population,2018,Diesel,Co. Limerick,Other vehicles,All years,Number,2209
Vehicle Population,2018,Diesel,Co. Tipperary,Private cars,All years,Number,47715
Vehicle Population,2018,Diesel,Co. Tipperary,Goods vehicles,All years,Number,13935
Vehicle Population,2018,Diesel,Co. Tipperary,Motor cycles,All years,Number,3
Vehicle Population,2018,Diesel,Co. Tipperary,Tractors & Machinery,All years,Number,5771
Vehicle Population,2018,Diesel,Co. Tipperary,Small PSVs,All years,Number,241
Vehicle Population,2018,Diesel,Co. Tipperary,Large PSVs,All years,Number,391
Vehicle Population,2018,Diesel,Co. Tipperary,Exempt vehicles,All years,Number,716
Vehicle Population,2018,Diesel,Co. Tipperary,Other vehicles,All years,Number,2104
Vehicle Population,2018,Diesel,Co. Waterford,Private cars,All years,Number,29673
