STATISTIC Label,Year,Age Group,Sex,UNIT,VALUE
Population Estimates (Persons in April),2022,80 - 84 years,Female,Thousand,53
Population Estimates (Persons in April),2022,85 years and over,Male,Thousand,31.6
Population Estimates (Persons in April),2022,85 years and over,Female,Thousand,52.8
Population Estimates (Persons in April),2023,Under 1 year,Male,Thousand,27.4
Population Estimates (Persons in April),2023,Under 1 year,Female,Thousand,28.3
Population Estimates (Persons in April),2023,0 - 4 years,Male,Thousand,149.2
Population Estimates (Persons in April),2023,0 - 4 years,Female,Thousand,144.6
Population Estimates (Persons in April),2023,0 - 14 years,Male,Thousand,516.5
Population Estimates (Persons in April),2023,0 - 14 years,Female,Thousand,495.1
Population Estimates (Persons in April),2023,1 - 4 years,Male,Thousand,121.8
Population Estimates (Persons in April),2023,1 - 4 years,Female,Thousand,116.3
Population Estimates (Persons in April),2023,5 - 9 years,Male,Thousand,173.4
Population Estimates (Persons in April),2023,5 - 9 years,Female,Thousand,165.2
Population Estimates (Persons in April),2023,10 - 14 years,Male,Thousand,193.9
Population Estimates (Persons in April),2023,10 - 14 years,Female,Thousand,185.3
Population Estimates (Persons in April),2023,15 - 19 years,Male,Thousand,178.7
Population Estimates (Persons in April),2023,15 - 19 years,Female,Thousand,170.7
Population Estimates (Persons in April),2023,15 - 24 years,Male,Thousand,340
Population Estimates (Persons in April),2023,15 - 24 years,Female,Thousand,327.2
Population Estimates (Persons in April),2023,15 years and over,Male,Thousand,2089.6
Population Estimates (Persons in April),2023,15 years and over,Female,Thousand,2180.3
Population Estimates (Persons in April),2023,20 - 24 years,Male,Thousand,161.3
Population Estimates (Persons in April),2023,20 - 24 years,Female,Thousand,156.5
Population Estimates (Persons in April),2023,25 - 29 years,Male,Thousand,154.7
Population Estimates (Persons in April),2023,25 - 29 years,Female,Thousand,153.8
Population Estimates (Persons in April),2023,25 - 44 years,Male,Thousand,708.2
Population Estimates (Persons in April),2023,25 - 44 years,Female,Thousand,749.6
Population Estimates (Persons in April),2023,30 - 34 years,Male,Thousand,163.4
Population Estimates (Persons in April),2023,30 - 34 years,Female,Thousand,173.6
Population Estimates (Persons in April),2023,35 - 39 years,Male,Thousand,183.3
Population Estimates (Persons in April),2023,35 - 39 years,Female,Thousand,201.2
Population Estimates (Persons in April),2023,40 - 44 years,Male,Thousand,206.7
Population Estimates (Persons in April),2023,40 - 44 years,Female,Thousand,221
Population Estimates (Persons in April),2023,45 - 49 years,Male,Thousand,188.7
Population Estimates (Persons in April),2023,45 - 49 years,Female,Thousand,194
Population Estimates (Persons in April),2023,45 - 64 years,Male,Thousand,661.5
Population Estimates (Persons in April),2023,45 - 64 years,Female,Thousand,677.2
Population Estimates (Persons in April),2023,50 - 54 years,Male,Thousand,176.4
Population Estimates (Persons in April),2023,50 - 54 years,Female,Thousand,178
Population Estimates (Persons in April),2023,55 - 59 years,Male,Thousand,156.1
Population Estimates (Persons in April),2023,55 - 59 years,Female,Thousand,160.2
Population Estimates (Persons in April),2023,60 - 64 years,Male,Thousand,140.3
Population Estimates (Persons in April),2023,60 - 64 years,Female,Thousand,145
Population Estimates (Persons in April),2023,65 - 69 years,Male,Thousand,120.2
Population Estimates (Persons in April),2023,65 - 69 years,Female,Thousand,124.6
Population Estimates (Persons in April),2023,65 years and over,Male,Thousand,379.9
Population Estimates (Persons in April),2023,65 years and over,Female,Thousand,426.4
Population Estimates (Persons in April),2023,70 - 74 years,Male,Thousand,102.6
Population Estimates (Persons in April),2023,70 - 74 years,Female,Thousand,107.9
Population Estimates (Persons in April),2023,75 - 79 years,Male,Thousand,77.8
Population Estimates (Persons in April),2023,75 - 79 years,Female,Thousand,84.3
Population Estimates (Persons in April),2023,80 - 84 years,Male,Thousand,46.1
Population Estimates (Persons in April),2023,80 - 84 years,Female,Thousand,55.6
Population Estimates (Persons in April),2023,85 years and over,Male,Thousand,33.1
Population Estimates (Persons in April),2023,85 years and over,Female,Thousand,53.9
Population Estimates (Persons in April),2024,Under 1 year,Male,Thousand,28.4
Population Estimates (Persons in April),2024,Under 1 year,Female,Thousand,27.1
Population Estimates (Persons in April),2024,0 - 4 years,Male,Thousand,148.9
Population Estimates (Persons in April),2024,0 - 4 years,Female,Thousand,144.3
Population Estimates (Persons in April),2024,0 - 14 years,Male,Thousand,516
Population Estimates (Persons in April),2024,0 - 14 years,Female,Thousand,494.4
Population Estimates (Persons in April),2024,1 - 4 years,Male,Thousand,120.5
Population Estimates (Persons in April),2024,1 - 4 years,Female,Thousand,117.2
Population Estimates (Persons in April),2024,5 - 9 years,Male,Thousand,171.7
Population Estimates (Persons in April),2024,5 - 9 years,Female,Thousand,163.7
Population Estimates (Persons in April),2024,10 - 14 years,Male,Thousand,195.4
Population Estimates (Persons in April),2024,10 - 14 years,Female,Thousand,186.4
Population Estimates (Persons in April),2024,15 - 19 years,Male,Thousand,185.7
Population Estimates (Persons in April),2024,15 - 19 years,Female,Thousand,173.3
Population Estimates (Persons in April),2024,15 - 24 years,Male,Thousand,351.2
Population Estimates (Persons in April),2024,15 - 24 years,Female,Thousand,330
Population Estimates (Persons in April),2024,15 years and over,Male,Thousand,2141.3
Population Estimates (Persons in April),2024,15 years and over,Female,Thousand,2228.7
Population Estimates (Persons in April),2024,20 - 24 years,Male,Thousand,165.5
Population Estimates (Persons in April),2024,20 - 24 years,Female,Thousand,156.7
Population Estimates (Persons in April),2024,25 - 29 years,Male,Thousand,161.2
Population Estimates (Persons in April),2024,25 - 29 years,Female,Thousand,159
Population Estimates (Persons in April),2024,25 - 44 years,Male,Thousand,718.8
Population Estimates (Persons in April),2024,25 - 44 years,Female,Thousand,760.6
Population Estimates (Persons in April),2024,30 - 34 years,Male,Thousand,166.1
Population Estimates (Persons in April),2024,30 - 34 years,Female,Thousand,175.2
Population Estimates (Persons in April),2024,35 - 39 years,Male,Thousand,182.4
Population Estimates (Persons in April),2024,35 - 39 years,Female,Thousand,200.5
Population Estimates (Persons in April),2024,40 - 44 years,Male,Thousand,209.1
Population Estimates (Persons in April),2024,40 - 44 years,Female,Thousand,225.9
Population Estimates (Persons in April),2024,45 - 49 years,Male,Thousand,193.2
Population Estimates (Persons in April),2024,45 - 49 years,Female,Thousand,200.4
