,AtcoCode,PlateCode,CommonName,ShortCommonName,CommonNameGA,ShortCommonNameGA,Indicator,Street,NptgLocalityRef,GridType,Easting,Northing,Latitude,Longitude,StopType,BusStopType,TimingStatus,CompassPoint,StopAreaRef,AdministrativeAreaRef,Status,CreationDateTime,ModificationDateTime
13320,8410B336391,336391,Racecourse,Racecourse,Ráschúrsa,Ráschúrsa,,,E0841469,ITM,552830,649034,52.590534,-8.696154,BCT,CUS,OTH,N,,841,active,2021-06-09T00:00:00.000,2025-09-22T08:44:01.000
13321,8410B610041,610041,Lacka,Lacka,An Leaca,An Leaca,,,E0841707,ITM,566225,663268,52.719461,-8.499932,BCT,CUS,OTH,N,,841,active,2021-08-30T00:00:00.000,2025-09-22T08:44:01.000
13322,841000023,14978,Effin,Effin,Eifinn,Eifinn,,,E0411886,ITM,558351,623566,52.362085,-8.611497,BCT,CUS,OTH,N,,841,active,2022-05-31T00:00:00.000,2025-12-10T11:40:43.570
13323,841000024,14979,Glenfield,Glenfield,An Gleann,An Gleann,,,E0841153,ITM,560580,628401,52.4057067,-8.5793405,BCT,CUS,OTH,N,,841,active,2022-06-01T00:00:00.000,2025-12-10T11:41:29.651
13324,841000025,14949,Charleville Station,Charleville Station,Stáisiún na Rátha,Stáisiún na Rátha,,,E0411674,ITM,555439,621945,52.34729,-8.65403,BCT,CUS,OTH,N,,841,active,2022-06-01T00:00:00.000,2025-11-12T11:07:10.976
13325,841000061,,Denny A's Bar,Denny A's Bar,,,,,E0841022,ITM,541407,636061,52.472833,-8.862433,BCT,CUS,OTH,N,,841,active,2022-06-01T00:00:00.000,2025-01-29T10:49:50.000
13326,841000026,14916,Ballyegny More,Ballyegny More,Baile Éignigh Mór,Baile Éignigh Mór,,,E0841091,ITM,528370,642275,52.52712,-9.05563,BCT,CUS,OTH,N,,841,active,2022-06-01T00:00:00.000,2025-10-22T16:05:14.790
13327,841000027,,Ardagh East,Ardagh East,Ardach Thoir,Ardach Thoir,,,E0841091,ITM,527829,638640,52.494384,-9.062813,BCT,CUS,OTH,N,,841,active,2022-06-01T00:00:00.000,2025-01-30T15:04:08.001
13328,841000028,,Twohig's SuperValu,Twohig's SuperValu,,,,,E0841006,ITM,534318,650408,52.600961,-8.969597,BCT,CUS,OTH,N,,841,active,2022-06-01T00:00:00.000,2025-01-29T10:49:50.000
13329,841000029,,Askeaton Centra,Askeaton Centra,,,,,E0841006,ITM,533621,650316,52.60005,-8.979866,BCT,CUS,OTH,N,,841,active,2022-06-01T00:00:00.000,2025-01-29T10:49:50.000
13330,841000030,,Graveyard,Graveyard,Reilig,Reilig,,,E0411892,ITM,531314,651015,52.6060447,-9.0140609,BCT,CUS,OTH,N,,841,active,2022-06-01T00:00:00.000,2023-07-26T15:51:59.085
13331,841000034,,Kilmallock Library,Kilmallock Library,,,,,E0841018,ITM,561100,627598,52.398527,-8.571605,BCT,CUS,OTH,N,,841,active,2022-06-01T00:00:00.000,2025-01-29T10:49:50.000
13332,841000031,14917,Creeves Cross,Creeves Cross,Crois na Craoibhe,Crois na Craoibhe,,,E0841832,ITM,530018,646106,52.5617641,-9.0321545,BCT,CUS,OTH,N,,841,active,2022-06-01T00:00:00.000,2025-10-22T16:01:53.675
13333,841000032,,Shangolden Youthreach,Youthreach,,,,,E0841035,ITM,525573,647246,52.571419,-9.0979563,BCT,CUS,OTH,N,,841,active,2022-06-01T00:00:00.000,2023-05-31T08:40:19.887
13334,841000036,,Mount Trenchard,Mount Trenchard,,,,,E0411559,ITM,521269,650999,52.604539,-9.162328,BCT,CUS,OTH,N,,841,active,2022-06-01T00:00:00.000,2025-01-29T10:49:50.000
13335,841000038,,Shangolden Credit Union,Credit Union,Comhar Creidmheasa Cois Sionna,Comhar Creidmheasa,,,E0841035,ITM,525450,647433,52.5730827,-9.0998125,BCT,CUS,OTH,N,,841,active,2022-06-01T00:00:00.000,2023-07-10T16:49:58.984
13336,841000040,,Ballingaddy The Church,Ballingaddy Church,,,,,E0841215,ITM,562939,625828,52.3827455,-8.5443883,BCT,CUS,OTH,N,,841,active,2022-06-01T00:00:00.000,2023-05-29T10:47:46.938
13337,841000042,,Carrigkerry,Carrigkerry,Carraig Chiarraí,Carraig Chiarraí,,,E0841625,ITM,522163,638836,52.495367,-9.14628,BCT,CUS,OTH,N,,841,active,2022-06-01T00:00:00.000,2025-01-30T15:04:08.001
13338,841000043,,Dromcollogher Day Care Centre,Day Care Centre,,,,,E0841923,ITM,538010,621345,52.340202,-8.909702,BCT,CUS,OTH,N,,841,active,2022-06-01T00:00:00.000,2023-05-08T12:21:36.572
13339,841000045,,Knockdown Arms,Knockdown Arms,Cnoc Donn,Cnoc Donn,,,E0411087,ITM,518520,641236,52.5164018,-9.2005047,BCT,CUS,OTH,N,,841,active,2022-06-01T00:00:00.000,2023-08-08T16:45:07.576
13340,841000048,,Snow's Shop,Snow's Shop,,,,,E0411118,ITM,541071,633087,52.446069,-8.866853,BCT,CUS,OTH,N,,841,active,2022-06-01T00:00:00.000,2025-01-29T10:49:50.000
13341,841000049,,Sysco Ireland,Sysco Ireland,,,,,E0841367,ITM,527589,636241,52.472793,-9.065825,BCT,CUS,OTH,N,,841,active,2022-06-01T00:00:00.000,2025-01-29T10:49:50.000
13342,841000050,,Ashford Church,Ashford Church,,,,,E0841070,ITM,527808,623800,52.361018,-9.059918,BCT,CUS,OTH,N,,841,active,2022-06-01T00:00:00.000,2025-01-29T10:49:50.000
13343,841000051,,An Seanachai Pub,An Seanachai Pub,,,,,E0841073,ITM,524565,627931,52.3977051,-9.1084513,BCT,CUS,OTH,N,,841,active,2022-06-01T00:00:00.000,2023-05-31T08:45:39.873
13344,841000052,,Church,Church,Eaglais,Eaglais,,,E0411662,ITM,525984,630083,52.4172382,-9.0880803,BCT,CUS,OTH,N,,841,active,2022-06-01T00:00:00.000,2023-07-10T13:23:30.050
13345,841000053,,The Old Stand,The Old Stand,,,,,E0841035,ITM,525405,647594,52.5745233,-9.1005124,BCT,CUS,OTH,N,,841,active,2022-06-01T00:00:00.000,2023-05-31T08:38:07.399
13346,841000054,,Collins Bar,Collins Bar,,,,,E0841069,ITM,512490,635116,52.460473,-9.287718,BCT,CUS,OTH,N,,841,active,2022-06-01T00:00:00.000,2025-01-29T10:49:50.000
13347,841000055,,Post Office,Post Office,,,,,E0841035,ITM,525449,647419,52.572957,-9.099824,BCT,CUS,OTH,N,,841,active,2022-06-01T00:00:00.000,2025-01-29T10:49:50.000
13348,841000057,,Glenstar,Glenstar,Gleann Eas Dáire,Gleann Eas Dáire,,,E0411847,ITM,525990,638582,52.4936166,-9.0898763,BCT,CUS,OTH,N,,841,active,2022-06-01T00:00:00.000,2023-07-26T13:11:46.431
13349,8410CO11084,11084,Monaleen,Monaleen,Móin an Lín,Móin an Lín,,,E0841094,ITM,562921,656738,52.660556,-8.548099,BCT,CUS,OTH,W,841G000011,841,active,1969-12-31T00:00:00.000,2026-03-31T09:06:24.283
13350,8410CO11086,11086,Castletroy Park,Castletroy Pk,Páirc Chaladh an Treoigh,Prc Cala an Treoigh,,,E0841096,ITM,560806,657468,52.666969,-8.579448,BCT,CUS,OTH,N,841G000368,841,active,1969-12-31T00:00:00.000,2026-03-31T09:15:14.291
13351,8410CO11085,11085,Kilmurry Lodge,Kilmurry Lodge,Lóiste Chill Mhuire,Lóiste Chill Mhuire,,,E0841029,ITM,562422,657801,52.67008,-8.55559,BCT,MKD,OTH,N,841G000369,841,active,1969-12-31T00:00:00.000,2026-03-30T15:29:57.833
13352,8410CO11082,11082,City East Plaza,City E Pza,Plaza Oirthear na Cathrach,Pza Oir na Cathrach,,,E0841095,ITM,561104,655924,52.653113,-8.574861,BCT,MKD,OTH,NE,,841,active,1969-12-31T00:00:00.000,2026-03-30T13:05:50.305
13353,841000064,13384,Athea,Athea,Áth an tSléibhe,Áth an tSléibhe,,,E0841069,ITM,512659,635157,52.460869,-9.285243,BCT,CUS,OTH,N,,841,active,2022-09-27T00:00:00.000,2025-05-13T10:58:44.981
13354,841000063,,Garden Centre,Garden Centre,,,,,E0841030,ITM,527655,633953,52.45224,-9.064358,BCT,CUS,OTH,N,,841,active,2022-09-09T00:00:00.000,2025-01-29T10:49:50.000
13355,8410CO11074,11074,Crossagalla Industrial Estate,Crossagalla IE,Eastát Tionscail na gCros Geal,ET na gCros Geal,,,E0411534,ITM,559838,655849,52.652347,-8.593561,BCT,CUS,OTH,N,,841,active,2022-09-14T00:00:00.000,2026-03-26T15:55:51.775
13356,8410CO11075,11075,Caisleán na hAbhann,Caisleán na hAbhann,Caisleán na hAbhann,Caisleán na hAbhann,,,E0841095,ITM,561226,656062,52.654362,-8.573074,BCT,CUS,OTH,N,,841,active,2022-09-14T00:00:00.000,2026-03-26T16:00:20.524
13357,8410CO11076,11076,Brú na Gruadán,Brú na Gruadán,Brú na Gruadán,Brú na Gruadán,,,E0411188,ITM,561027,656723,52.660289,-8.576093,BCT,MKD,OTH,N,,841,active,2022-09-15T00:00:00.000,2026-03-30T13:09:33.499
13358,8410CO11077,11077,Newtown Centre,Newtown Centre,Ionad an Bhaile Nua,Ionad an Bhaile Nua,,,E0411606,ITM,563523,657019,52.663123,-8.539232,BCT,CUS,OTH,N,,841,active,2022-09-15T00:00:00.000,2026-03-26T16:11:23.615
13359,8410CO11079,11079,Brú na Gruadán,Brú na Gruadán,Brú na Gruadán,Brú na Gruadán,,,E0841095,ITM,561063,656683,52.65993,-8.57556,BCT,MKD,OTH,N,,841,active,2022-09-15T00:00:00.000,2026-03-30T15:45:30.042
13360,8410CO11080,11080,Eastlink Business Park,Eastlink BP,Páirc Ghnó an Náscbhóthair Thoir,PG an Náscbhr Thoir,,,E0411534,ITM,560397,655628,52.650402,-8.585274,BCT,CUS,OTH,N,,841,active,2022-09-15T00:00:00.000,2025-09-22T08:44:01.000
13361,8410CO11081,11081,Crossagalla Industrial Estate,Crossagalla IE,Eastát Tionscail na gCros Geal,ET na gCros Geal,,,E0840003,ITM,559700,655902,52.652813,-8.595607,BCT,CUS,OTH,N,,841,active,2022-09-15T00:00:00.000,2025-09-22T08:44:01.000
13362,8410B337321,337321,Eastlink Business Park,Eastlink BP,Páirc Ghnó an Náscbhóthair Thoir,PG an Náscbhr Thoir,,,E0411534,ITM,560395,655626,52.650384,-8.585303,BCT,CUS,OTH,N,,841,active,2022-09-16T00:00:00.000,2025-09-22T08:44:01.000
