Statistic Label,Year,Type of Ownership,Engine Capacity cc,Fuel Type,County of Ownership,Year of Registration,UNIT,VALUE
Vehicle Population,2018,All owners,1401 - 1600 cc,Other fuel types,Co. Cavan,All years,Number,75
Vehicle Population,2018,All owners,1401 - 1600 cc,Other fuel types,Co. Clare,All years,Number,152
Vehicle Population,2018,All owners,1401 - 1600 cc,Other fuel types,Co. Cork,All years,Number,657
Vehicle Population,2018,All owners,1401 - 1600 cc,Other fuel types,Co. Donegal,All years,Number,170
Vehicle Population,2018,All owners,1401 - 1600 cc,Other fuel types,Co. Dublin,All years,Number,3133
Vehicle Population,2018,All owners,1401 - 1600 cc,Other fuel types,Co. Galway,All years,Number,384
Vehicle Population,2018,All owners,1401 - 1600 cc,Other fuel types,Co. Kerry,All years,Number,162
Vehicle Population,2018,All owners,1401 - 1600 cc,Other fuel types,Co. Kildare,All years,Number,326
Vehicle Population,2018,All owners,1401 - 1600 cc,Other fuel types,Co. Kilkenny,All years,Number,104
Vehicle Population,2018,All owners,1401 - 1600 cc,Other fuel types,Co. Laois,All years,Number,86
Vehicle Population,2018,All owners,1401 - 1600 cc,Other fuel types,Co. Leitrim,All years,Number,22
Vehicle Population,2018,All owners,1401 - 1600 cc,Other fuel types,Co. Limerick,All years,Number,214
Vehicle Population,2018,All owners,1401 - 1600 cc,Other fuel types,Co. Longford,All years,Number,34
Vehicle Population,2018,All owners,1401 - 1600 cc,Other fuel types,Co. Louth,All years,Number,164
Vehicle Population,2018,All owners,1401 - 1600 cc,Other fuel types,Co. Mayo,All years,Number,102
Vehicle Population,2018,All owners,1401 - 1600 cc,Other fuel types,Co. Meath,All years,Number,241
Vehicle Population,2018,All owners,1401 - 1600 cc,Other fuel types,Co. Monaghan,All years,Number,47
Vehicle Population,2018,All owners,1401 - 1600 cc,Other fuel types,Co. Offaly,All years,Number,114
Vehicle Population,2018,All owners,1401 - 1600 cc,Other fuel types,Co. Roscommon,All years,Number,54
Vehicle Population,2018,All owners,1401 - 1600 cc,Other fuel types,Co. Sligo,All years,Number,100
Vehicle Population,2018,All owners,1401 - 1600 cc,Other fuel types,Co. Tipperary,All years,Number,133
Vehicle Population,2018,All owners,1401 - 1600 cc,Other fuel types,Co. Waterford,All years,Number,120
Vehicle Population,2018,All owners,1401 - 1600 cc,Other fuel types,Co. Westmeath,All years,Number,154
Vehicle Population,2018,All owners,1401 - 1600 cc,Other fuel types,Co. Wexford,All years,Number,157
Vehicle Population,2018,All owners,1401 - 1600 cc,Other fuel types,Co. Wicklow,All years,Number,310
Vehicle Population,2018,All owners,1601 - 1800 cc,Petrol,Co. Carlow,All years,Number,459
Vehicle Population,2018,All owners,1601 - 1800 cc,Petrol,Co. Cavan,All years,Number,401
Vehicle Population,2018,All owners,1601 - 1800 cc,Petrol,Co. Clare,All years,Number,1005
Vehicle Population,2018,All owners,1601 - 1800 cc,Petrol,Co. Cork,All years,Number,5389
Vehicle Population,2018,All owners,1601 - 1800 cc,Petrol,Co. Donegal,All years,Number,688
Vehicle Population,2018,All owners,1601 - 1800 cc,Petrol,Co. Dublin,All years,Number,17887
Vehicle Population,2018,All owners,1601 - 1800 cc,Petrol,Co. Galway,All years,Number,2186
Vehicle Population,2018,All owners,1601 - 1800 cc,Petrol,Co. Kerry,All years,Number,1402
Vehicle Population,2018,All owners,1601 - 1800 cc,Petrol,Co. Kildare,All years,Number,2307
Vehicle Population,2018,All owners,1601 - 1800 cc,Petrol,Co. Kilkenny,All years,Number,694
Vehicle Population,2018,All owners,1601 - 1800 cc,Petrol,Co. Laois,All years,Number,559
Vehicle Population,2018,All owners,1601 - 1800 cc,Petrol,Co. Leitrim,All years,Number,170
Vehicle Population,2018,All owners,1601 - 1800 cc,Petrol,Co. Limerick,All years,Number,1688
Vehicle Population,2018,All owners,1601 - 1800 cc,Petrol,Co. Longford,All years,Number,260
Vehicle Population,2018,All owners,1601 - 1800 cc,Petrol,Co. Louth,All years,Number,829
Vehicle Population,2018,All owners,1601 - 1800 cc,Petrol,Co. Mayo,All years,Number,943
Vehicle Population,2018,All owners,1601 - 1800 cc,Petrol,Co. Meath,All years,Number,1859
Vehicle Population,2018,All owners,1601 - 1800 cc,Petrol,Co. Monaghan,All years,Number,280
Vehicle Population,2018,All owners,1601 - 1800 cc,Petrol,Co. Offaly,All years,Number,525
Vehicle Population,2018,All owners,1601 - 1800 cc,Petrol,Co. Roscommon,All years,Number,347
Vehicle Population,2018,All owners,1601 - 1800 cc,Petrol,Co. Sligo,All years,Number,439
Vehicle Population,2018,All owners,1601 - 1800 cc,Petrol,Co. Tipperary,All years,Number,1265
Vehicle Population,2018,All owners,1601 - 1800 cc,Petrol,Co. Waterford,All years,Number,1114
Vehicle Population,2018,All owners,1601 - 1800 cc,Petrol,Co. Westmeath,All years,Number,628
Vehicle Population,2018,All owners,1601 - 1800 cc,Petrol,Co. Wexford,All years,Number,1172
Vehicle Population,2018,All owners,1601 - 1800 cc,Petrol,Co. Wicklow,All years,Number,1780
Vehicle Population,2018,All owners,1601 - 1800 cc,Diesel,Co. Carlow,All years,Number,1290
Vehicle Population,2018,All owners,1601 - 1800 cc,Diesel,Co. Cavan,All years,Number,1536
Vehicle Population,2018,All owners,1601 - 1800 cc,Diesel,Co. Clare,All years,Number,2374
Vehicle Population,2018,All owners,1601 - 1800 cc,Diesel,Co. Cork,All years,Number,11232
Vehicle Population,2018,All owners,1601 - 1800 cc,Diesel,Co. Donegal,All years,Number,3578
Vehicle Population,2018,All owners,1601 - 1800 cc,Diesel,Co. Dublin,All years,Number,17628
Vehicle Population,2018,All owners,1601 - 1800 cc,Diesel,Co. Galway,All years,Number,5409
Vehicle Population,2018,All owners,1601 - 1800 cc,Diesel,Co. Kerry,All years,Number,3485
Vehicle Population,2018,All owners,1601 - 1800 cc,Diesel,Co. Kildare,All years,Number,4928
Vehicle Population,2018,All owners,1601 - 1800 cc,Diesel,Co. Kilkenny,All years,Number,2198
Vehicle Population,2018,All owners,1601 - 1800 cc,Diesel,Co. Laois,All years,Number,1869
Vehicle Population,2018,All owners,1601 - 1800 cc,Diesel,Co. Leitrim,All years,Number,743
Vehicle Population,2018,All owners,1601 - 1800 cc,Diesel,Co. Limerick,All years,Number,3733
Vehicle Population,2018,All owners,1601 - 1800 cc,Diesel,Co. Longford,All years,Number,888
Vehicle Population,2018,All owners,1601 - 1800 cc,Diesel,Co. Louth,All years,Number,2315
Vehicle Population,2018,All owners,1601 - 1800 cc,Diesel,Co. Mayo,All years,Number,3143
Vehicle Population,2018,All owners,1601 - 1800 cc,Diesel,Co. Meath,All years,Number,4045
Vehicle Population,2018,All owners,1601 - 1800 cc,Diesel,Co. Monaghan,All years,Number,1602
Vehicle Population,2018,All owners,1601 - 1800 cc,Diesel,Co. Offaly,All years,Number,1636
Vehicle Population,2018,All owners,1601 - 1800 cc,Diesel,Co. Roscommon,All years,Number,1380
Vehicle Population,2018,All owners,1601 - 1800 cc,Diesel,Co. Sligo,All years,Number,1419
Vehicle Population,2018,All owners,1601 - 1800 cc,Diesel,Co. Tipperary,All years,Number,3391
Vehicle Population,2018,All owners,1601 - 1800 cc,Diesel,Co. Waterford,All years,Number,2005
Vehicle Population,2018,All owners,1601 - 1800 cc,Diesel,Co. Westmeath,All years,Number,2067
Vehicle Population,2018,All owners,1601 - 1800 cc,Diesel,Co. Wexford,All years,Number,3248
Vehicle Population,2018,All owners,1601 - 1800 cc,Diesel,Co. Wicklow,All years,Number,2633
Vehicle Population,2018,All owners,1601 - 1800 cc,Other fuel types,Co. Carlow,All years,Number,83
Vehicle Population,2018,All owners,1601 - 1800 cc,Other fuel types,Co. Cavan,All years,Number,105
Vehicle Population,2018,All owners,1601 - 1800 cc,Other fuel types,Co. Clare,All years,Number,214
Vehicle Population,2018,All owners,1601 - 1800 cc,Other fuel types,Co. Cork,All years,Number,1246
Vehicle Population,2018,All owners,1601 - 1800 cc,Other fuel types,Co. Donegal,All years,Number,270
Vehicle Population,2018,All owners,1601 - 1800 cc,Other fuel types,Co. Dublin,All years,Number,5365
Vehicle Population,2018,All owners,1601 - 1800 cc,Other fuel types,Co. Galway,All years,Number,711
Vehicle Population,2018,All owners,1601 - 1800 cc,Other fuel types,Co. Kerry,All years,Number,269
Vehicle Population,2018,All owners,1601 - 1800 cc,Other fuel types,Co. Kildare,All years,Number,617
Vehicle Population,2018,All owners,1601 - 1800 cc,Other fuel types,Co. Kilkenny,All years,Number,156
Vehicle Population,2018,All owners,1601 - 1800 cc,Other fuel types,Co. Laois,All years,Number,121
Vehicle Population,2018,All owners,1601 - 1800 cc,Other fuel types,Co. Leitrim,All years,Number,37
Vehicle Population,2018,All owners,1601 - 1800 cc,Other fuel types,Co. Limerick,All years,Number,378
Vehicle Population,2018,All owners,1601 - 1800 cc,Other fuel types,Co. Longford,All years,Number,80
Vehicle Population,2018,All owners,1601 - 1800 cc,Other fuel types,Co. Louth,All years,Number,248
Vehicle Population,2018,All owners,1601 - 1800 cc,Other fuel types,Co. Mayo,All years,Number,207
Vehicle Population,2018,All owners,1601 - 1800 cc,Other fuel types,Co. Meath,All years,Number,434
Vehicle Population,2018,All owners,1601 - 1800 cc,Other fuel types,Co. Monaghan,All years,Number,61
Vehicle Population,2018,All owners,1601 - 1800 cc,Other fuel types,Co. Offaly,All years,Number,138
Vehicle Population,2018,All owners,1601 - 1800 cc,Other fuel types,Co. Roscommon,All years,Number,116
Vehicle Population,2018,All owners,1601 - 1800 cc,Other fuel types,Co. Sligo,All years,Number,115
Vehicle Population,2018,All owners,1601 - 1800 cc,Other fuel types,Co. Tipperary,All years,Number,244
Vehicle Population,2018,All owners,1601 - 1800 cc,Other fuel types,Co. Waterford,All years,Number,179
Vehicle Population,2018,All owners,1601 - 1800 cc,Other fuel types,Co. Westmeath,All years,Number,204
Vehicle Population,2018,All owners,1601 - 1800 cc,Other fuel types,Co. Wexford,All years,Number,243
Vehicle Population,2018,All owners,1601 - 1800 cc,Other fuel types,Co. Wicklow,All years,Number,432
Vehicle Population,2018,All owners,1801 - 2000 cc,Petrol,Co. Carlow,All years,Number,328
Vehicle Population,2018,All owners,1801 - 2000 cc,Petrol,Co. Cavan,All years,Number,324
Vehicle Population,2018,All owners,1801 - 2000 cc,Petrol,Co. Clare,All years,Number,770
Vehicle Population,2018,All owners,1801 - 2000 cc,Petrol,Co. Cork,All years,Number,4295
Vehicle Population,2018,All owners,1801 - 2000 cc,Petrol,Co. Donegal,All years,Number,597
Vehicle Population,2018,All owners,1801 - 2000 cc,Petrol,Co. Dublin,All years,Number,15022
Vehicle Population,2018,All owners,1801 - 2000 cc,Petrol,Co. Galway,All years,Number,1712
Vehicle Population,2018,All owners,1801 - 2000 cc,Petrol,Co. Kerry,All years,Number,1027
Vehicle Population,2018,All owners,1801 - 2000 cc,Petrol,Co. Kildare,All years,Number,1770
Vehicle Population,2018,All owners,1801 - 2000 cc,Petrol,Co. Kilkenny,All years,Number,513
Vehicle Population,2018,All owners,1801 - 2000 cc,Petrol,Co. Laois,All years,Number,390
Vehicle Population,2018,All owners,1801 - 2000 cc,Petrol,Co. Leitrim,All years,Number,147
Vehicle Population,2018,All owners,1801 - 2000 cc,Petrol,Co. Limerick,All years,Number,1208
Vehicle Population,2018,All owners,1801 - 2000 cc,Petrol,Co. Longford,All years,Number,168
Vehicle Population,2018,All owners,1801 - 2000 cc,Petrol,Co. Louth,All years,Number,594
Vehicle Population,2018,All owners,1801 - 2000 cc,Petrol,Co. Mayo,All years,Number,656
Vehicle Population,2018,All owners,1801 - 2000 cc,Petrol,Co. Meath,All years,Number,1300
Vehicle Population,2018,All owners,1801 - 2000 cc,Petrol,Co. Monaghan,All years,Number,232
Vehicle Population,2018,All owners,1801 - 2000 cc,Petrol,Co. Offaly,All years,Number,355
Vehicle Population,2018,All owners,1801 - 2000 cc,Petrol,Co. Roscommon,All years,Number,275
Vehicle Population,2018,All owners,1801 - 2000 cc,Petrol,Co. Sligo,All years,Number,340
Vehicle Population,2018,All owners,1801 - 2000 cc,Petrol,Co. Tipperary,All years,Number,900
Vehicle Population,2018,All owners,1801 - 2000 cc,Petrol,Co. Waterford,All years,Number,778
Vehicle Population,2018,All owners,1801 - 2000 cc,Petrol,Co. Westmeath,All years,Number,458
Vehicle Population,2018,All owners,1801 - 2000 cc,Petrol,Co. Wexford,All years,Number,891
Vehicle Population,2018,All owners,1801 - 2000 cc,Petrol,Co. Wicklow,All years,Number,1698
Vehicle Population,2018,All owners,1801 - 2000 cc,Diesel,Co. Carlow,All years,Number,6579
Vehicle Population,2018,All owners,1801 - 2000 cc,Diesel,Co. Cavan,All years,Number,8032
Vehicle Population,2018,All owners,1801 - 2000 cc,Diesel,Co. Clare,All years,Number,11483
Vehicle Population,2018,All owners,1801 - 2000 cc,Diesel,Co. Cork,All years,Number,46696
Vehicle Population,2018,All owners,1801 - 2000 cc,Diesel,Co. Donegal,All years,Number,15928
Vehicle Population,2018,All owners,1801 - 2000 cc,Diesel,Co. Dublin,All years,Number,82131
Vehicle Population,2018,All owners,1801 - 2000 cc,Diesel,Co. Galway,All years,Number,26486
Vehicle Population,2018,All owners,1801 - 2000 cc,Diesel,Co. Kerry,All years,Number,14446
Vehicle Population,2018,All owners,1801 - 2000 cc,Diesel,Co. Kildare,All years,Number,19797
Vehicle Population,2018,All owners,1801 - 2000 cc,Diesel,Co. Kilkenny,All years,Number,9208
Vehicle Population,2018,All owners,1801 - 2000 cc,Diesel,Co. Laois,All years,Number,7889
Vehicle Population,2018,All owners,1801 - 2000 cc,Diesel,Co. Leitrim,All years,Number,4007
Vehicle Population,2018,All owners,1801 - 2000 cc,Diesel,Co. Limerick,All years,Number,17149
Vehicle Population,2018,All owners,1801 - 2000 cc,Diesel,Co. Longford,All years,Number,4791
Vehicle Population,2018,All owners,1801 - 2000 cc,Diesel,Co. Louth,All years,Number,10149
Vehicle Population,2018,All owners,1801 - 2000 cc,Diesel,Co. Mayo,All years,Number,15375
Vehicle Population,2018,All owners,1801 - 2000 cc,Diesel,Co. Meath,All years,Number,18487
Vehicle Population,2018,All owners,1801 - 2000 cc,Diesel,Co. Monaghan,All years,Number,6948
Vehicle Population,2018,All owners,1801 - 2000 cc,Diesel,Co. Offaly,All years,Number,7788
Vehicle Population,2018,All owners,1801 - 2000 cc,Diesel,Co. Roscommon,All years,Number,7542
Vehicle Population,2018,All owners,1801 - 2000 cc,Diesel,Co. Sligo,All years,Number,7023
Vehicle Population,2018,All owners,1801 - 2000 cc,Diesel,Co. Tipperary,All years,Number,17769
Vehicle Population,2018,All owners,1801 - 2000 cc,Diesel,Co. Waterford,All years,Number,10224
Vehicle Population,2018,All owners,1801 - 2000 cc,Diesel,Co. Westmeath,All years,Number,9942
Vehicle Population,2018,All owners,1801 - 2000 cc,Diesel,Co. Wexford,All years,Number,15412
Vehicle Population,2018,All owners,1801 - 2000 cc,Diesel,Co. Wicklow,All years,Number,12254
Vehicle Population,2018,All owners,1801 - 2000 cc,Other fuel types,Co. Carlow,All years,Number,16
Vehicle Population,2018,All owners,1801 - 2000 cc,Other fuel types,Co. Cavan,All years,Number,24
Vehicle Population,2018,All owners,1801 - 2000 cc,Other fuel types,Co. Clare,All years,Number,38
Vehicle Population,2018,All owners,1801 - 2000 cc,Other fuel types,Co. Cork,All years,Number,287
Vehicle Population,2018,All owners,1801 - 2000 cc,Other fuel types,Co. Donegal,All years,Number,41
Vehicle Population,2018,All owners,1801 - 2000 cc,Other fuel types,Co. Dublin,All years,Number,1242
Vehicle Population,2018,All owners,1801 - 2000 cc,Other fuel types,Co. Galway,All years,Number,134
Vehicle Population,2018,All owners,1801 - 2000 cc,Other fuel types,Co. Kerry,All years,Number,46
Vehicle Population,2018,All owners,1801 - 2000 cc,Other fuel types,Co. Kildare,All years,Number,134
Vehicle Population,2018,All owners,1801 - 2000 cc,Other fuel types,Co. Kilkenny,All years,Number,30
Vehicle Population,2018,All owners,1801 - 2000 cc,Other fuel types,Co. Laois,All years,Number,16
Vehicle Population,2018,All owners,1801 - 2000 cc,Other fuel types,Co. Leitrim,All years,Number,7
Vehicle Population,2018,All owners,1801 - 2000 cc,Other fuel types,Co. Limerick,All years,Number,67
Vehicle Population,2018,All owners,1801 - 2000 cc,Other fuel types,Co. Longford,All years,Number,10
Vehicle Population,2018,All owners,1801 - 2000 cc,Other fuel types,Co. Louth,All years,Number,34
Vehicle Population,2018,All owners,1801 - 2000 cc,Other fuel types,Co. Mayo,All years,Number,32
Vehicle Population,2018,All owners,1801 - 2000 cc,Other fuel types,Co. Meath,All years,Number,94
Vehicle Population,2018,All owners,1801 - 2000 cc,Other fuel types,Co. Monaghan,All years,Number,12
Vehicle Population,2018,All owners,1801 - 2000 cc,Other fuel types,Co. Offaly,All years,Number,12
Vehicle Population,2018,All owners,1801 - 2000 cc,Other fuel types,Co. Roscommon,All years,Number,19
Vehicle Population,2018,All owners,1801 - 2000 cc,Other fuel types,Co. Sligo,All years,Number,16
Vehicle Population,2018,All owners,1801 - 2000 cc,Other fuel types,Co. Tipperary,All years,Number,44
Vehicle Population,2018,All owners,1801 - 2000 cc,Other fuel types,Co. Waterford,All years,Number,54
Vehicle Population,2018,All owners,1801 - 2000 cc,Other fuel types,Co. Westmeath,All years,Number,38
Vehicle Population,2018,All owners,1801 - 2000 cc,Other fuel types,Co. Wexford,All years,Number,44
Vehicle Population,2018,All owners,1801 - 2000 cc,Other fuel types,Co. Wicklow,All years,Number,106
Vehicle Population,2018,All owners,Over 2000 cc,Petrol,Co. Carlow,All years,Number,77
Vehicle Population,2018,All owners,Over 2000 cc,Petrol,Co. Cavan,All years,Number,87
Vehicle Population,2018,All owners,Over 2000 cc,Petrol,Co. Clare,All years,Number,178
Vehicle Population,2018,All owners,Over 2000 cc,Petrol,Co. Cork,All years,Number,1189
Vehicle Population,2018,All owners,Over 2000 cc,Petrol,Co. Donegal,All years,Number,155
Vehicle Population,2018,All owners,Over 2000 cc,Petrol,Co. Dublin,All years,Number,6218
Vehicle Population,2018,All owners,Over 2000 cc,Petrol,Co. Galway,All years,Number,514
Vehicle Population,2018,All owners,Over 2000 cc,Petrol,Co. Kerry,All years,Number,250
Vehicle Population,2018,All owners,Over 2000 cc,Petrol,Co. Kildare,All years,Number,556
Vehicle Population,2018,All owners,Over 2000 cc,Petrol,Co. Kilkenny,All years,Number,145
Vehicle Population,2018,All owners,Over 2000 cc,Petrol,Co. Laois,All years,Number,90
Vehicle Population,2018,All owners,Over 2000 cc,Petrol,Co. Leitrim,All years,Number,36
Vehicle Population,2018,All owners,Over 2000 cc,Petrol,Co. Limerick,All years,Number,306
Vehicle Population,2018,All owners,Over 2000 cc,Petrol,Co. Longford,All years,Number,37
Vehicle Population,2018,All owners,Over 2000 cc,Petrol,Co. Louth,All years,Number,211
Vehicle Population,2018,All owners,Over 2000 cc,Petrol,Co. Mayo,All years,Number,167
