Statistic Label,Week,Mode of Transport,UNIT,VALUE
Passenger Journeys,2021 Week 12,Rail,Number,149153
Passenger Journeys,2021 Week 13,Dublin Metro Bus,Number,1007971
Passenger Journeys,2021 Week 13,"Bus, excluding Dublin Metro",Number,259578
Passenger Journeys,2021 Week 13,Rail,Number,172949
Passenger Journeys,2021 Week 14,Dublin Metro Bus,Number,911592
Passenger Journeys,2021 Week 14,"Bus, excluding Dublin Metro",Number,239121
Passenger Journeys,2021 Week 14,Rail,Number,144048
Passenger Journeys,2021 Week 15,Dublin Metro Bus,Number,1173468
Passenger Journeys,2021 Week 15,"Bus, excluding Dublin Metro",Number,310154
Passenger Journeys,2021 Week 15,Rail,Number,225466
Passenger Journeys,2021 Week 16,Dublin Metro Bus,Number,1227564
Passenger Journeys,2021 Week 16,"Bus, excluding Dublin Metro",Number,326905
Passenger Journeys,2021 Week 16,Rail,Number,264009
Passenger Journeys,2021 Week 17,Dublin Metro Bus,Number,1218011
Passenger Journeys,2021 Week 17,"Bus, excluding Dublin Metro",Number,322352
Passenger Journeys,2021 Week 17,Rail,Number,225261
Passenger Journeys,2021 Week 18,Dublin Metro Bus,Number,1096020
Passenger Journeys,2021 Week 18,"Bus, excluding Dublin Metro",Number,287627
Passenger Journeys,2021 Week 18,Rail,Number,216234
Passenger Journeys,2021 Week 19,Dublin Metro Bus,Number,1355893
Passenger Journeys,2021 Week 19,"Bus, excluding Dublin Metro",Number,358853
Passenger Journeys,2021 Week 19,Rail,Number,269055
Passenger Journeys,2021 Week 20,Dublin Metro Bus,Number,1471313
Passenger Journeys,2021 Week 20,"Bus, excluding Dublin Metro",Number,391144
Passenger Journeys,2021 Week 20,Rail,Number,274137
Passenger Journeys,2021 Week 21,Dublin Metro Bus,Number,1562407
Passenger Journeys,2021 Week 21,"Bus, excluding Dublin Metro",Number,418633
Passenger Journeys,2021 Week 21,Rail,Number,366784
Passenger Journeys,2021 Week 22,Dublin Metro Bus,Number,1547915
Passenger Journeys,2021 Week 22,"Bus, excluding Dublin Metro",Number,418168
Passenger Journeys,2021 Week 22,Rail,Number,393257
Passenger Journeys,2021 Week 23,Dublin Metro Bus,Number,1527611
Passenger Journeys,2021 Week 23,"Bus, excluding Dublin Metro",Number,411324
Passenger Journeys,2021 Week 23,Rail,Number,377568
Passenger Journeys,2021 Week 24,Dublin Metro Bus,Number,1623456
Passenger Journeys,2021 Week 24,"Bus, excluding Dublin Metro",Number,446540
Passenger Journeys,2021 Week 24,Rail,Number,371228
Passenger Journeys,2021 Week 25,Dublin Metro Bus,Number,1603926
Passenger Journeys,2021 Week 25,"Bus, excluding Dublin Metro",Number,450941
Passenger Journeys,2021 Week 25,Rail,Number,368609
Passenger Journeys,2021 Week 26,Dublin Metro Bus,Number,1586039
Passenger Journeys,2021 Week 26,"Bus, excluding Dublin Metro",Number,447514
Passenger Journeys,2021 Week 26,Rail,Number,399131
Passenger Journeys,2021 Week 27,Dublin Metro Bus,Number,1558866
Passenger Journeys,2021 Week 27,"Bus, excluding Dublin Metro",Number,441652
Passenger Journeys,2021 Week 27,Rail,Number,359807
Passenger Journeys,2021 Week 28,Dublin Metro Bus,Number,1623323
Passenger Journeys,2021 Week 28,"Bus, excluding Dublin Metro",Number,466323
Passenger Journeys,2021 Week 28,Rail,Number,455660
Passenger Journeys,2021 Week 29,Dublin Metro Bus,Number,1629341
Passenger Journeys,2021 Week 29,"Bus, excluding Dublin Metro",Number,465320
Passenger Journeys,2021 Week 29,Rail,Number,466402
Passenger Journeys,2021 Week 30,Dublin Metro Bus,Number,1595175
Passenger Journeys,2021 Week 30,"Bus, excluding Dublin Metro",Number,449602
Passenger Journeys,2021 Week 30,Rail,Number,387647
Passenger Journeys,2021 Week 31,Dublin Metro Bus,Number,1509235
Passenger Journeys,2021 Week 31,"Bus, excluding Dublin Metro",Number,410910
Passenger Journeys,2021 Week 31,Rail,Number,386299
Passenger Journeys,2021 Week 32,Dublin Metro Bus,Number,1636634
Passenger Journeys,2021 Week 32,"Bus, excluding Dublin Metro",Number,457401
Passenger Journeys,2021 Week 32,Rail,Number,402833
Passenger Journeys,2021 Week 33,Dublin Metro Bus,Number,1655260
